Twitter_ID,Twitter_Name
15828025,adndotcom
341639834,alaskajournal
17761344,anchoragepress
342865213,Alaska_Star
16555200,newsminer
30896285,capweekly
24755505,JuneauEmpire
27984903,pclarion
240872550,KDNSports
715053342,SitNews
4766136326,kdkmirror
936277356,SeldoviaCom
69108694,sitkasentinel
198348697,matsu_news
42961791,AKBusinessMonth
34752115,AlaskaMagazine
4360794500,mushingmagazine
46253974,tnl_updates
27759651,uafsunstar
17827429,smrnews
19350695,alexcityoutlook
14923012,annistonstar
795254196,ArabTribune
28156328,newscourier
43127893,atmoreadvance
372467453,TheAUPlainsman
9893842,ALcomBirmingham
309287835,BirminghamTimes
21246341,bhambizjrnl
26827311,brewtonstandard
3236479136,PickensCoHerald
22828180,postpaper
226202255,wcn_hct
19343772,clantonadv
19344457,shelbycreporter
25020568,TheCullmanTimes
,cullmansense
17455392,decaturdaily
19347884,demopolistimes
16313096,dothaneagle
27217872,ledgernews
27102881,southeastsun
27218902,eufaulatribnews
80747858,TimesDaily
168725662,lowndes_signal
143282576,fptimesjournal
2928418037,gad_messenger
15751559,gadsdentimes
22953160,NorthJeffNews
19347057,GvilleAdvocate
404138079,CCDemocrat
99814106,hartselleenq
19082650,ALcomHuntsville
29212669,valleyplanet
2515368705,DailyMtnEagle
271585088,lsunnews
2907044625,Luverne_Journal
91086406,madisonrecord
44515708,LagniappeMobile
36406095,alcommobile
23785422,monroe360
20477029,mgmadvertiser
135638918,MoultonAdv
16744446,oanow
285312624,SCNewsAegis
849522080,randolphleader
42947713,franklincotimes
,dailysentineljc
463072144,theclarionpaper
1229022492,SelmaTimes
57720546,dailyhome
329663078,TallasseeTrib
50711072,tvilletimes
19349897,troymessenger
18949107,tuscaloosanews
40903888,tuskegeenews
31237182,WetumpkaHerald
52770481,TweetHomeAla
16211809,JSUNews
185900315,Tropolitan
21456389,UABkscope
43852492,TheCrimsonWhite
109387098,UNAFlorAla
507746865,TheVanguardUSA
728645114,SiftingsHerald
123577047,arkansasweekly
16690762,guardonline
30012029,nwademgaz
188487177,SalineCourier
562332180,BoonevilleDemo
185797061,BryantDaily
104632221,cabotstarherald
2307246518,CamdenArkNews
485053538,CarlisleIndepen
463422324,VBCDemocrat
16532722,lcdonline
3107934590,el_newstimes
169614092,freekly
24790910,timesrecord
103091856,harrisondaily
65457088,hebersuntimes
316691756,HelenaDaily
264356119,TheSenRec
,MadCoRecord
479002002,JaxPatriot
337748993,NewtonCoTimes
1448883031,TheSunJonesboro
17288548,arkbusiness
25354366,arkansasonline
17131180,arkansasblog
2546732444,Dailyrecord_AR
72151088,holaarkansas
479761414,LonokeDemocrat
466068083,MaumelleMonitor
366070674,myadvancenews
36105594,BBnewsroom
31414770,StoneCoLeader
,NashLeader
55352444,nlrtimes
147711302,PDailyPress
71590396,pbcommercial
50089656,rsvlcourier
127656904,seadailycitizen
479054591,SherwoodVoice
334982677,LaPrensaLibreAR
606702354,Stuttgart_DL
201579242,TxkGazette
293616226,Times_Dispatch
,WMEveningTimes
22524086,LRFamily
21664546,artourism
,ASUHerald
202321570,thebrayonline
21917202,uatrav
746026706,theualrforum
72892366,UCAEcho
73047163,bensonnews
2840308857,BHCBee
3127324504,MDNreporter
355720535,CVBugle
102760244,CGDispatch
234111183,sonorannews
557350188,ChinoValleynews
167049677,coolidgenews
3137399497,FloAZBlade
171282488,VerdeNews
2934042926,EloyEnterprise
36201747,azds
1098730902,NHOnews
,YourWVnews
961036903,azsilverbelt
16562166,WestValleyView
1260248012,GCanyonNews
21790258,greenvalleynews
319302313,DailyMiner
24289998,havasunews
173978800,Explorer_News
22528819,maricopamonitor
14269985,EVTNow
18090164,nogalesnews
595658763,lakepowellchron
66830461,paysonroundup
18560313,EastPeoriaTimes
18784030,ahwatukeefn
17490662,azcapitoltimes
556215595,CITYSunTimes
66593062,culturadoor
14269985,evtnow
,frontdoorsnews
34776735,phxjnews
2216773626,lavozaz
44439772,PhoenixNewTimes
23835272,phxbizjournal
1470767988,PrensaHispanaAZ
27949016,thedailycourier
556388515,pvtrib
289511993,Pvvt
17764197,eacourier
122561327,sedonanews
426646767,SedonaDotBiz
151189229,WMIcentral
,SVherald
18955124,wranglernews
3952661,TucsonStar
173978800,explorer_news
17761820,azbiz
353889075,SoAzNewsX
17435612,tucsonweekly
2841386975,wickenburgsun
73301751,rangenews
64484397,navajotimes
97770061,Bajo_El_Sol
981387054,GatewayToSedona
205379197,TheAZB
7113852,ArizonaTourism
15476151,azhighways
1326297104,rickpricepga
24443344,northvalley
50447736,TrueWestMag
54928770,wickenburgazcom
15925421,statepress
21443869,collegetimes
389014615,jackcentral
16080839,dailywildcat
1408894190,theacornonline
45199165,jonkawamoto
1289321,EastBayTimes
2168883326,Alameda_Sun
304855409,boyleheightsbt
25120994,AmCanEagle
52449805,thepress_net
253278832,peterdaynews
3285019597,madriverunion
22399210,ncj_of_humboldt
976966297,Atascadero_News
18345112,AuburnJournal
33055408,bakersfieldcali
1511805104,RecordGazette
176481540,ddispatchnews
342590917,Beniciaherald
48422260,BHCourier
55184301,canyonnews90210
419808969,BBGrizzly
1472882329,InyoRegister
25375098,BurbankLeader
25123110,WeeklyCali
552980119,CamarilloAcorn
34437253,thecambrian
10433782,mercnews
747888432,CoastalViewNews
19185158,cerescourier
34072567,cerritosnews
41171271,chicoer
353345474,ChicoNR
126068585,NewzTip
12334212,mercedsunstar
335617594,Courier91711
19680385,RecordBee
,ClovisIndypaper
56826069,ColfaxRecord
15637134,appealdemocrat
40296036,TheDailyPilot
19082263,OCWEEKLY
44008059,thetriplicate
3165777451,CULVERCITYOB
19087287,DanaPointTimes
325769705,ValleySentinel1
76689268,D_Enterprise
26849724,DOWNEYPATRIOT
,publisherjohn
110848131,IVPNews
1694502194,MidValley_News
180950380,heraldpub
222285792,ElkGroveCitizen
41702929,coastnewsgroup
19185497,escalontimes
321602758,mpnewspaper
14148802,sdut
2877462928,TimesAdvocate
124593629,eurekaTS
388084044,AllDailyRepNews
632174792,MtechoWalt
158192819,thefvillagenews
23319431,FrndEnterprise
56048497,FillmoreGazette
23707740,folsomtelegraph
1491304855,HeraldNews1
289561465,FBAdvocateNews
72133803,TMEnews
295921548,fremontbulletin
8249832,fresnobee
46774667,GilroyDispatch
25375420,glendalenp
15536445,TheUnion
20562595,hmbreview
97725070,Beach_Reporter
87767356,EasyReaderNews
20172139,HesperiaStar
1490865258,HighlandNews1
48625268,hollisternews
46702525,HBIndependent
62872266,mydesert
,ledgerdispatch
23222382,JulianNews
139825426,KingsburgRecdr
41429340,ValleySun
60694159,lajollalight
156383222,LJvillagenews
42365537,EastCountyMag
48754487,coastlinepilot
56721145,lagunabeachindy
242569275,TheMountainNews
1120177008,kvsun
20944400,lakeconews
19680385,recordbee
56833229,lincolnnm
15984596,lodinews
152060321,LompocRecord
176509198,GrunionGazette
2563644096,impacto_usa
20496846,longbeachpost
17820493,ocregister
163633469,presstelegram
383114423,RandomLengths
56831153,TheLoomisNews
25118278,latc
