Name,Medium,Website,Facebook,Twitter_Name,Twitter_ID,Geography
Alaska Dispatch News,Newspapers,http://www.adn.com/,https://www.facebook.com/akdispatch,adndotcom,158225,AK
Alaska Journal of Commerce,Newspapers,http://www.alaskajournal.com/,https://www.facebook.com/AlaskaJournal,alaskajournal,341639834,AK
Anchorage Press ,Newspapers,http://www.anchoragepress.com/,https://www.facebook.com/anchoragepress,anchoragepress,17761344,AK
Petroleum News,Newspapers,http://www.petroleumnews.com/,https://www.facebook.com/PetroleumNews,,,AK
Delta Discovery,Newspapers,http://www.deltadiscovery.com/,https://www.facebook.com/deltadiscovery,,,AK
Tundra Drums,Newspapers,http://www.thetundradrums.com/,https://www.facebook.com/tundradrums,,,AK
Cordova Times,Newspapers,http://www.thecordovatimes.com/,https://www.facebook.com/pages/The-Cordova-Times/159874207366016,,,AK
Delta News Web,Newspapers,http://www.deltanewsweb.com/,https://www.facebook.com/pages/Delta-News-Web/514170478629814,,,AK
Delta Wind,Newspapers,http://www.deltawindonline.com/,https://www.facebook.com/DeltaWindOnline,,,AK
Bristol Bay Times,Newspapers,http://www.thebristolbaytimes.com/,https://www.facebook.com/pages/Bristol-Bay-TimesDutch-Harbor-Fisherman/285351581577579,,,AK
Dutch Harbor Fisherman,Newspapers,http://www.thedutchharborfisherman.com/,https://www.facebook.com/pages/Bristol-Bay-TimesDutch-Harbor-Fisherman/285351581577579,,,AK
Alaska Star ,Newspapers,http://www.alaskastar.com/,https://www.facebook.com/AlaskaStar,Alaska_Star,342865213,AK
Fairbanks Daily News-Miner,Newspapers,http://www.newsminer.com/,https://www.facebook.com/fairbanksDNM,newsminer,165550,AK
Turnagain Times,Newspapers,http://www.turnagaintimes.com/,,,,AK
Chilkat Valley News,Newspapers,http://www.chilkatvalleynews.com/,,,,AK
Homer News,Newspapers,http://homernews.com/,https://www.facebook.com/pages/Homer-News/143584662338822,,,AK
Homer Tribune ,Newspapers,http://homertribune.com/,https://www.facebook.com/homertribune,,,AK
Capital City Weekly ,Newspapers,http://capitalcityweekly.com/,https://www.facebook.com/capitalcityweekly,capweekly,896285,AK
Juneau Empire,Newspapers,http://juneauempire.com/,https://www.facebook.com/juneauempire,JuneauEmpire,247555,AK
Clarion Dispatch ,Newspapers,http://peninsulaclarion.com/dispatch,https://www.facebook.com/peninsulaclarion,pclarion,279843,AK
Clarion Dispatch ,Newspapers,http://peninsulaclarion.com/dispatch,https://www.facebook.com/peninsulaclarion,pclarion,279843,AK
Peninsula Clarion,Newspapers,http://peninsulaclarion.com/,https://www.facebook.com/peninsulaclarion,pclarion,279843,AK
Peninsula Clarion,Newspapers,http://peninsulaclarion.com/,https://www.facebook.com/peninsulaclarion,pclarion,279843,AK
Ketchikan Daily News,Newspapers,http://www.ketchikandailynews.com/,https://www.facebook.com/ketchikandailynews,KDNSports,28725,AK
